School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
MURRAY HILL ACADEMY HS - M,M,2,CHARTER MATCH INTERIOR SPACES,407000,CIP,M620,111 EAST 33 STREET,Manhattan,10016,MANHATTAN,40.746176,-73.981241,105,4,1087537,1008897501,72,MN0603,"(40.746176, -73.981241)"
P.S. 153 - QUEENS,Q,24,PA SYSTEM REPLACEMENT,989999,CIP,Q153,60-02 60 LANE,Queens,11378,QUEENS,40.716609,-73.903669,405,30,4060987,4027320018,599,QN0501,"(40.716609, -73.903669)"
CHANNEL VIEW SCL FOR RESEARCH - Q,Q,27,TENNIS COURT REMEDIATION,4362000,CIP,Q411,100-00 BEACH CHANNEL DRIVE,Queens,11694,QUEENS,40.586066,-73.822624,414,32,4303773,4161670099,94201,QN1402,"(40.586066, -73.822624)"
P.S. 79 - QUEENS,Q,25,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,7872000,CIP,Q079,147-27 15 DRIVE,Queens,11357,QUEENS,40.785909,-73.818058,407,19,4105232,4046470001,1039,QN0702,"(40.785909, -73.818058)"
I.S. 77 - QUEENS,Q,24,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,23400000,CIP,Q849,976 SENECA AVENUE,Queens,11385,QUEENS,40.699516,-73.90214,405,34,4085922,4035630023,555,QN0502,"(40.699516, -73.90214)"
P.S. 13 ANNEX - STATEN ISLAND,R,31,Demo,2389000,CAP,R122,1 VIRGINIA AVENUE,Staten Is,10305,STATEN IS,40.615517,-74.06755,501,49,5042681,5028470086,8,SI0103,"(40.615517, -74.06755)"
P.S. 304 - BRONX,X,8,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6630000,CIP,X101,2750 LAFAYETTE AVENUE,Bronx,10465,BRONX,40.827471,-73.829753,210,13,2080231,2055470001,152,BX1002,"(40.827471, -73.829753)"
P.S. 239 - QUEENS,Q,24,CLIMATE CONTROL / FIRE ALARM SYSTEM REPLACEMENT / HVAC COOLING SYSTEM REPLACEMENT,7760000,CIP,Q239,17-15 WEIRFIELD STREET,Queens,11385,QUEENS,40.699149,-73.903799,405,34,4435561,4035610001,553,QN0502,"(40.699149, -73.903799)"
P.S. 63 - QUEENS,Q,27,LSP DOMESTIC WATER HEATER REPLACEMENT,175157.82,CIP,Q063,90-15 SUTTER AVENUE,Queens,11417,QUEENS,40.67641,-73.846773,410,32,4190727,4091550025,54,QN1002,"(40.67641, -73.846773)"
I.S. 303 - BRONX,X,9,FY23 RESO A LIBRARY UPGRADE,216000,CIP,X082,1700 MACOMBS ROAD,Bronx,10453,BRONX,40.849532,-73.916077,205,14,2008460,2028660070,21502,BX0501,"(40.849532, -73.916077)"
