BIN,Accident Report ID,Incident Date,Record Type Description,Check2 Description,Fatality,Injury,House Number,Street Name,Borough,Block,Lot,Postcode,Latitude,Longitude,Community Board,Council District,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
3429452,43870,10/23/2024,Accident,Other Construction Related,0,1,548,UTICA AVENUE,Brooklyn,4603,1,11203,40.659935,-73.931266,309,41,3046030001,878,BK1703
1077363,43887,10/26/2024,Accident,Material Failure (Fell),0,1,712,5 AVENUE,Manhattan,1271,38,10019,40.762495,-73.975193,105,04,1012710038,104,MN0502
3322003,43883,10/25/2024,Accident,Other Construction Related,0,1,2926,WEST 25 STREET,Brooklyn,7052,14,11224,40.575048,-73.992063,313,47,3070530014,342,BK1302
4433860,43892,10/28/2024,Accident,Worker Fell,0,1,104-20,QUEENS BOULEVARD,Queens,3175,1,11375,40.72378,-73.848991,406,29,4031750001,71305,QN0602
4047330,43891,10/28/2024,Accident,Worker Fell,0,1,98-25,HORACE HARDING EXPRESSWAY,Queens,1918,90,11368,40.735687,-73.859814,404,21,4019180090,455,QN0402
1012154,43890,10/28/2024,Accident,Material Failure (Fell),0,1,90,GANSEVOORT STREET,Manhattan,643,1,10014,40.73937,-74.008776,102,03,1006430001,79,MN0203
1085694,43896,10/29/2024,Accident,Worker Fell,0,1,540,1 AVENUE,Manhattan,962,108,10016,40.742066,-73.974757,106,04,1009620108,62,MN0603
1089192,43899,10/30/2024,Accident,Worker Fell,0,1,375,WEST 207 STREET,Manhattan,2188,1,10034,40.863599,-73.916537,112,10,1021880001,299,MN1203
4623962,42663,01/08/2024,Accident,Worker Fell,0,1,88-06,161 STREET,Queens,9764,63,11432,40.707847,-73.800871,412,24,4097640063,44602,QN1201
3058215,43904,10/31/2024,Accident,Other Construction Related,0,1,71,PRINCE STREET,Brooklyn,2050,100,11201,40.695332,-73.982413,302,35,3020500100,1501,BK0202
1091823,43909,11/01/2024,Incident,Other Construction Related,0,0,3,ST MARKS PLACE,Manhattan,464,59,10003,40.729384,-73.989497,103,02,1004640059,38,MN0303
3140147,43906,10/31/2024,Incident,Other Construction Related,0,0,1443,57 STREET,Brooklyn,5692,54,11219,40.628624,-73.99358,312,44,3056920054,240,BK1202
3329436,43922,11/04/2024,Incident,Other Construction Related,0,0,380,FULTON STREET,Brooklyn,154,19,11201,40.69152,-73.987527,302,33,3001540019,37,BK0202
4003495,43901,10/30/2024,Accident,Material Failure (Fell),0,1,43-14,QUEENS STREET,Queens,266,27,11101,40.747075,-73.939149,402,26,4002660027,1902,QN0201
1035336,43900,10/30/2024,Accident,Worker Fell,0,1,50,EAST 42 STREET,Manhattan,1276,51,10017,40.752702,-73.97907000000001,105,04,1012760051,82,MN0502
1022547,43910,11/01/2024,Accident,Worker Fell,0,1,650,1 AVENUE,Manhattan,969,1,10016,40.745817,-73.972016,106,04,1009690001,8601,MN0603
